epigenome,epigenome_name,state,state_label,case_count,case_pct,ctrl_count,ctrl_pct,odds_ratio,pvalue,n_case_total,n_ctrl_total,fdr
E068,Anterior Caudate,11_BivFlnk,Flanking Bivalent TSS/Enh,3,0.04215259238443164,3,0.10518934081346423,0.400477930840596,0.3626298916381756,7117,2852,0.6843176987365572
E068,Anterior Caudate,13_ReprPC,Repressed PolyComb,7,0.09835604889700718,2,0.07012622720897616,1.4029535864978904,1.0,7117,2852,1.0
E068,Anterior Caudate,14_ReprPCWk,Weak Repressed PolyComb,256,3.5970212168048334,80,2.805049088359046,1.2928727590730213,0.04937672342395319,7117,2852,0.3079707895503263
E068,Anterior Caudate,15_Quies,Quiescent/Low,2818,39.595335113109456,1248,43.75876577840112,0.8424872212380935,0.00013845774548135385,7117,2852,0.0040498890553295995
E068,Anterior Caudate,1_TssA,Active TSS,131,1.8406632007868482,49,1.7180925666199158,1.0726788854677285,0.7393764181751878,7117,2852,0.9830345559829202
E068,Anterior Caudate,2_TssAFlnk,Flanking Active TSS,77,1.0819165378670788,29,1.0168302945301542,1.064709051724138,0.8295136625795397,7117,2852,1.0
E068,Anterior Caudate,3_TxFlnk,Transcr. at gene 5'/3',9,0.12645777715329493,1,0.03506311360448808,3.609876195835678,0.2994023485432067,7117,2852,0.6843176987365572
E068,Anterior Caudate,4_Tx,Strong Transcription,491,6.898974286918645,218,7.643758765778401,0.8953427836407591,0.19591629300214092,7117,2852,0.5877488790064228
E068,Anterior Caudate,5_TxWk,Weak Transcription,2463,34.60727834761838,898,31.486676016830295,1.1515591636095301,0.002910798087499621,7117,2852,0.03405633762374556
E068,Anterior Caudate,6_EnhG,Genic Enhancers,133,1.868764929043136,45,1.5778401122019634,1.1878929616902125,0.3575046091600651,7117,2852,0.6843176987365572
E068,Anterior Caudate,7_Enh,Enhancers,635,8.922298721371364,231,8.099579242636747,1.11152629125477,0.1942555451605292,7117,2852,0.5877488790064228
E068,Anterior Caudate,8_ZNF/Rpts,ZNF Genes & Repeats,14,0.19671209779401436,8,0.2805049088359046,0.7006898493594256,0.47860891225825686,7117,2852,0.8234888637384713
