gene,N,spearman_r_rna_seq,spearman_p_rna_seq,pb_r_rna_seq,pb_p_rna_seq,spearman_r_cage,spearman_p_cage,pb_r_cage,pb_p_cage,spearman_r_chip_histone,spearman_p_chip_histone,pb_r_chip_histone,pb_p_chip_histone,spearman_r_dnase,spearman_p_dnase,pb_r_dnase,pb_p_dnase,n_sig_modalities
ABCA1,273,0.0223,0.7135947635440649,-0.0247,0.6850360000532839,-0.0993,0.10146577145919634,-0.0237,0.6967732926686074,0.0014,0.9814970883497387,0.0148,0.808300494076685,-0.0546,0.36864213077568875,-0.0159,0.7933412625553139,0
PILRA,25,0.0193,0.9268832355339907,0.1083,0.6062674389805521,0.0,1.0,0.1106,0.5986800468296268,0.1923,0.35711044751366283,0.1773,0.39649279851713976,0.2043,0.3272661060416805,0.1101,0.6002490234353435,0
CTSB,51,0.0189,0.8954588287332964,0.0461,0.7481822321271179,0.0,1.0,-0.0204,0.8867869954088681,0.1816,0.20207268419750224,0.2067,0.1456654118368774,0.0867,0.5451859177273666,-0.0139,0.9229487891346295,0
INPP5D,246,0.014,0.827581070456768,0.0767,0.23094944229328235,0.0919,0.15084216818113388,0.0886,0.166148023755727,-0.0094,0.8831597136082101,0.0444,0.48823826577361795,-0.0165,0.7970377865649682,0.066,0.3023852648638758,0
MINDY2,112,0.0129,0.8925544031687604,0.005,0.9581807918411378,-0.0837,0.38002793486351893,0.0085,0.92927018132413,0.0055,0.9541268082671727,0.0454,0.6345461386948238,0.1322,0.16454297682478553,-0.0044,0.9629094424903099,0
SNX1,69,0.0113,0.9263104411391454,-0.1393,0.2534909779023667,-0.1088,0.37331795099866627,-0.1174,0.33679643735946774,-0.1019,0.40469146212301343,-0.0345,0.7781782316684875,-0.1137,0.35237372510983567,-0.1515,0.21402280407985444,0
WNT3,49,0.0103,0.9439374141872656,-0.2327,0.10761975022553345,-0.1289,0.37722344485444537,-0.2761,0.05482153229024426,-0.1144,0.43364454233178784,-0.1061,0.46823694544330347,-0.2246,0.12076574827637256,-0.2551,0.07690532236385945,0
EPDR1,374,0.004,0.9390511428949225,-0.0172,0.7408989071144637,-0.0969,0.06121985456672078,-0.0131,0.8001944864184387,-0.0267,0.6063459989230991,-0.051,0.3252969993575183,0.0047,0.9279271715290303,-0.0492,0.34233405093142627,0
APP,505,0.0033,0.9413905293877961,-0.0519,0.2438974915514277,-0.0865,0.05197082401945219,-0.0526,0.23796007025757074,0.0436,0.327612867636783,0.0186,0.6772704354032568,-0.0027,0.9519851574705832,-0.0515,0.24845066597604107,0
ADAM17,83,0.0022,0.9840717020573939,-0.0581,0.6018218376808362,-0.1769,0.10972675877003707,-0.0534,0.631368228840482,-0.0761,0.4939777126450019,-0.1944,0.07827357693007132,-0.0842,0.4492563186867655,-0.0458,0.6808643750529786,0
